"","well_name","a_mean","a_sd","acer_mean","acer_sd","aacer_ratio","sd_warning","ct_warning","rep"
"103","58",36.03,0.749533188057742,24.485,0.0707106781186558,0.0000371848634163331,NA,NA,NA
"104","60",22.56,0.0424264068711919,25.425,0.0707106781186558,0.809484296526202,NA,NA,NA
"105","61",33.255,0.091923881554253,24.825,0.15556349186104,0.00032216223320943,NA,NA,NA
"106","62",23.33,0.268700576850887,25.225,0.0707106781186532,0.413246641161406,NA,NA,NA
"107","63",24.995,0.190918830920368,24.69,0.289913780286485,0.0899380240608232,NA,NA,NA
"108","64",32.3,0.26870057685089,25.97,0.0353553390593279,0.00138113972874118,NA,NA,NA
"109","65",24.905,0.0919238815542505,25.15,0.134350288425445,0.131676974549064,NA,NA,NA
"110","66",22.415,0.0212132034355972,25.185,0.0707106781186558,0.757897681571517,NA,NA,NA
"111","67",22.47,0.212132034355965,25.855,0.0424264068711919,1.16076425519015,NA,NA,NA
"112","68",34.725,0.827314933988262,25.365,0.395979797464466,0.000169089535516602,NA,NA,NA
"113","7",32.81,0.49497474683058,24.95,0.0777817459305198,0.000478257428765889,NA,NA,NA
"114","7-JD",24.165,0.36062445840514,25.96,0.0353553390593279,0.385572749845364,NA,NA,NA
"115","70",25.405,0.289913780286485,24.24,0.0636396103067892,0.0495515844122274,NA,NA,NA
"116","72",35.51,0.127279220613578,24.05,0.0353553390593279,0.0000394415287901558,NA,NA,NA
"117","77",25.865,0.134350288425445,24.735,0.212132034355962,0.0507684139016333,NA,NA,NA
"118","8",23.415,0.0494974746830585,24.185,0.0141421356237306,0.18947442039288,NA,NA,NA
"119","80",34.215,0.72831998462214,24.79,0.00707106781186407,0.000161640349731196,NA,NA,NA
"120","81",32.895,0.403050865276332,24.125,0.0282842712474613,0.000254521473357613,NA,NA,NA
"121","83",33.965,0.0777817459305249,24.67,0.0494974746830585,0.00017688201658043,NA,NA,NA
"122","84",33.565,0.148492424049176,25.335,0.0424264068711919,0.000370067227329843,NA,NA,NA
"123","85",33.61,0.381837661840735,25.02,0.0353553390593254,0.000288343275628583,NA,NA,NA
"124","86",24.695,0.0777817459305198,24.47,0.176776695296637,0.0950661139647335,NA,NA,NA
"125","87",35.23,0.60811183182043,24.415,0.0424264068711945,0.0000616762680792109,NA,NA,NA
"126","88",32.895,0.0353553390593304,24.01,0.0777817459305223,0.000235020626199203,NA,NA,NA
"127","88-JD",24.69,0.16970562748477,25.925,0.0424264068711919,0.261534830493059,NA,NA,NA
