"","site","timepoint","genotype","array","tag_number","number_branches","sa","volume","tle","sav","breakage","growth","initial_tle","initial_sa","initial_vol","initial_sav"
"106","Looe","3","31","6","58",2,11.666709,3.808637,5.799707,3.06322419280178,0,2.249653,7.813678,24.654536659679,5.22683057775462,4.71691903782162
"107","Looe","3","3","6","59",0,11.281585,2.647925,3.612542,4.26053796840923,5,-10.050023,6.706171,17.1033685617693,3.09149339758149,5.53239692348993
"108","Looe","3","1","6","60",13,98.990509,27.890305,31.304283,3.54928026064971,0,12.576545,7.806027,23.8331729613347,5.31921476250637,4.48058106796664
"109","Looe","3","44","7","61",10,132.357483,36.945382,39.884224,3.58251764726644,0,13.693184,8.805228,29.7395498165956,6.85263675989234,4.3398695799342
"110","Looe","3","13","7","62",10,92.382668,21.657066,36.532127,4.26570561312414,1,19.915733,6.775881,20.6740965276247,4.59931599018905,4.49503721243012
"111","Looe","3","50","7","63",4,45.886253,13.795079,15.170331,3.32627692817127,0,5.130622,8.363528,26.6654064621283,5.73155532654171,4.65238577365659
"112","Looe","3","1","7","64",10,80.748276,19.935521,30.105025,4.05047232023683,0,12.608413,6.846406,21.3633449160519,5.08744079477169,4.19923214399013
"113","Looe","3","36","7","65",5,37.763691,13.160899,12.562629,2.86938536645559,0,3.667839,9.416637,33.4471561033456,8.01818756369733,4.17141103742434
"114","Looe","3","7","7","66",3,56.095001,18.286482,13.90335,3.06756657732198,0,2.013385,6.701969,20.7261991003516,4.95306054077341,4.18452367576256
"115","Looe","3","41","7","68",6,65.222512,16.223412,23.465824,4.02027095163459,1,5.953748,8.512565,26.8170960078179,5.96030737984449,4.49928070798886
"116","Looe","3","3","7","69",14,108.545319,30.041424,31.355772,3.61318820972002,4,2.561782,8.235332,23.7029672870463,5.1338940831419,4.61695681741456
"117","Looe","3","41","8","80",9,56.287598,14.741439,20.036611,3.81832452042165,0,3.587818,9.64374,29.6506949699016,6.11702777683772,4.84723889634353
"118","Looe","3","3","9","81",0,20.984846,5.488791,5.905411,3.82321826427714,0,NA,6.818452,21.0449359926647,4.63579155432954,4.53966399179662
"119","Looe","3","13","9","83",3,23.762045,6.645238,9.339284,3.57580044537156,0,2.511833,7.924602,22.9870435137453,4.72142343525853,4.86866806778719
"120","Looe","3","50","9","84",5,86.970909,23.421616,29.122472,3.71327533505801,0,NA,9.170886,32.3937865302782,7.42092757841196,4.36519372921981
"121","Looe","3","31","9","86",7,20.565062,6.852308,6.718757,3.00118762904411,0,1.69481,7.261439,17.4892855211077,2.76491838187636,6.32542560234232
"122","Looe","3","36","9","87",8,67.061905,22.216122,17.592359,3.01861436482929,0,4.135542,10.75372,35.7340346986969,8.63039663498361,4.14048579805102
"123","Looe","3","44","9","88",14,146.985825,43.088352,43.910477,3.41126587992968,0,NA,11.024885,38.4579567361006,8.96135230523438,4.29153496327079
"124","Looe","3","7","9","89",6,76.893661,27.020436,17.959284,2.84575944666474,0,NA,6.904873,23.9297130936483,5.92263407586855,4.04038351637299
"125","Looe","3","41","9","90",0,7.176322,1.760562,3.107224,4.07615409170481,0,0.706917,9.866615,28.945737730506,5.8352315965764,4.96051223527937
"126","Looe","3","62","10","91",9,142.622543,41.062656,39.442779,3.47329074378433,1,15.629313,10.745427,37.4455632099027,8.77939015756466,4.26516677558044
"127","Looe","3","3","10","94",6,52.204647,15.717808,14.594355,3.32136943013937,1,6.07577,6.601647,19.3164723074902,3.86328074582861,5.00001775132373
"128","Looe","3","41","10","95",5,32.54229,8.058499,13.539018,4.03825700046622,0,6.579012,9.511276,27.8735093827533,5.35477415384437,5.20535667461193
"129","Looe","3","7","10","96",6,53.075668,18.293776,15.05543,2.90129648466232,0,4.144625,7.132475,21.9416041656352,4.63679293639512,4.73206469786716
"130","Looe","3","13","10","97",14,59.858269,14.761193,20.400907,4.05511051850619,0,4.284469,7.748622,24.0545807292827,5.15306750837423,4.66801195408204
"131","Looe","3","31","10","98",5,21.675947,4.959636,7.458157,4.37047134104196,0,NA,7.520687,19.758827340769,3.77861713654362,5.22911600375654
"132","Looe","3","36","10","99",1,24.504335,8.396603,4.986275,2.91836293796432,0,1.779617,10.0802,34.0877717850934,8.07464735644331,4.22158024745098
"133","Looe","3","50","10","100",16,153.755615,38.34206,52.465591,4.01010313478201,0,21.838765,8.94447,27.0625731138853,5.53324787479371,4.890902002993
"134","Daves","T2","31","11","101",16,91.37616,23.470125,34.806973,3.89329669100612,1,18.679118,9.973947,30.0083273198635,6.8979917473096,4.35029910431069
"135","Daves","T2","1","11","102",3,37.80761,12.407041,12.176566,3.04727049745382,0,3.262526,8.351011,22.9606301329214,4.75752476417912,4.8261714380972
"136","Daves","T2","7","11","106",3,31.757929,9.773219,8.817,3.24948504684076,0,2.920105,9.553802,34.4990441074236,9.33247431718544,3.69666638609385
"137","Daves","T2","3","11","107",5,36.76543,11.580167,9.204729,3.17486181330546,1,3.866617,7.475078,20.5802972503586,4.18443849203534,4.91829364669385
"138","Daves","T2","44","11","108",0,10.549157,3.532913,3.191723,2.98596568893715,0,-4.550861,7.973911,20.5500941399539,3.95332899561469,5.19817454169626
"139","Daves","T2","13","11","109",0,8.1457,2.687111,2.19113,3.03139691661416,0,0.151225,9.430051,27.8597128742587,6.04770577855314,4.60665811042876
"140","Daves","T2","7","12","111",4,57.951477,20.564399,14.76183,2.81804865777988,0,5.006334,8.356634,34.0759634502606,10.3303997036779,3.29861035658947
"141","Daves","T2","41","12","112",8,58.471157,16.534743,20.60426,3.5362604063456,0,NA,8.595634,25.146653822757,5.49549323759106,4.57586839535079
"142","Daves","T2","1","12","113",6,51.801956,17.234788,15.339053,3.00566250075139,0,5.593872,7.770432,22.4773807334876,4.91972201116134,4.56883146700024
"143","Daves","T2","44","12","114",1,29.475248,12.346143,7.704971,2.38740536214427,0,1.284173,8.069067,27.848955960527,3.03467540710448,9.17691424108482
"144","Daves","T2","31","12","116",8,63.66951,17.336658,23.267502,3.67253654077966,2,11.088268,7.548528,23.3538523055691,4.86459893057916,4.80077651597656
"145","Daves","T2","3","12","117",3,34.416809,12.838279,8.225571,2.6807961565565,0,3.584803,7.280578,22.0372753310957,4.77719297890572,4.61301760854209
"146","Daves","T2","36","12","118",1,16.032227,5.229761,5.193233,3.06557546319994,0,1.932437,8.524968,25.2819778429058,5.62479525434043,4.49473744371348
"147","Daves","T2","13","12","120",2,33.917534,9.281238,11.299645,3.65441916261602,1,1.671104,7.824861,19.9860975372938,3.74922701844874,5.33072482379665
"148","Daves","T2","7","13","121",3,35.063164,10.751544,11.568134,3.26122127203311,0,3.40217,6.83135,21.6401670574162,4.81357589747307,4.49565302767458
"149","Daves","T2","36","13","122",3,42.337196,14.767529,9.725894,2.86691131603669,0,2.985144,8.965698,32.5235251449308,8.38453303344351,3.87899063850112
"150","Daves","T2","3","13","123",2,15.322263,4.016599,5.639699,3.81473555114663,0,1.927634,8.112431,24.6831283229792,5.54590563719848,4.45069388801355
"151","Daves","T2","41","13","124",6,22.908768,4.721118,7.741914,4.85240318077201,0,2.580395,8.562816,24.2310419226689,4.70079960046724,5.15466388319562
"152","Daves","T2","44","13","125",12,67.58287,19.807173,18.7540859,3.41204017352704,0,6.4527899,9.037957,24.4596047853133,4.82673074662361,5.06753039879492
"153","Daves","T2","62","13","126",9,52.694103,14.311603,19.553119,3.6819148071673,0,7.82986,7.480359,22.178668938838,4.65453222554993,4.7649619476461
"154","Daves","T2","1","13","128",12,67.724907,18.197609,20.873556,3.72163766129935,0,5.78385,8.849915,29.4044354529619,6.6699316936951,4.40850623414285
"155","Daves","T2","50","13","129",15,70.967018,18.667913,22.744925,3.80155071431927,0,8.769502,8.098215,26.5509187035609,5.82834358208435,4.55548275931696
"156","Daves","T2","31","13","130",6,15.945302,5.185292,3.897521,3.07510203861229,0,0.786864,9.212535,32.8587360786967,8.04908212594432,4.0822960387973
"157","Daves","T2","44","14","131",4,50.435844,15.656557,12.240289,3.22138794627708,0,1.693391,9.347461,30.2799514343061,6.93785997954558,4.36445121746165
"158","Daves","T2","13","14","134",3,25.7377,7.678433,8.486259,3.35194694021554,0,1.563625,7.383592,23.8695935623624,5.59941405640383,4.26287345817259
"159","Daves","T2","41","14","135",0,12.975348,4.059011,4.546726,3.19667722014057,0,NA,6.942979,18.4478473091233,3.40072155783912,5.4246862012559
"160","Daves","T2","7","14","136",0,29.598276,12.469373,3.731683,2.37367797081698,5,NA,7.428431,29.7453086864906,8.29250208455692,3.58701250638033
"161","Daves","T2","3","14","137",3,30.091993,10.462178,7.572367,2.87626467452571,5,NA,8.584842,25.6897789503459,5.80487139696265,4.42555522656158
"162","Daves","T2","36","14","138",0,22.463324,7.5886,2.222596,2.96014073742192,5,-10.315275,7.994432,28.9114190143943,6.76355873127702,4.27458682079568
"163","Daves","T2","31","14","139",10,94.335335,22.11263,35.275319,4.26612913072755,0,21.20585,10.415485,34.2416814897365,8.18917876667028,4.18133276429368
"164","Daves","T2","50","14","140",1,22.722662,7.90133,5.529395,2.87580217507685,5,-4.663279,8.126271,22.0407306389705,4.17314577013915,5.28156260360766
"165","Daves","T2","7","15","141",2,47.667347,15.32898,10.943206,3.10962288423626,0,3.179542,8.732853,33.9983081005932,9.97207316385474,3.40935205167017
"166","Daves","T2","44","15","142",0,19.891045,7.313998,4.119504,2.71958578605026,5,NA,7.057614,23.2313508904795,5.45903975390716,4.25557459512037
"167","Daves","T2","62","15","144",9,68.658203,20.205625,20.811176,3.39797472238547,0,9.902143,9.593583,31.8474125062054,28.1708046864491,1.13051128147308
"168","Daves","T2","50","15","145",10,67.488205,18.044252,23.846155,3.74014977179436,0,10.572976,7.516004,23.8861836264173,4.20394166209065,5.68185420882803
"169","Daves","T2","1","15","146",2,26.51804,6.034437,7.896296,4.39445137963989,0,2.368173,7.809601,20.4771100944572,3.95038997452432,5.18356674316006
"170","Daves","T2","41","15","148",0,11.151465,3.49453,4.65668,3.19112012201927,0,0.420051,8.417048,21.6780972972862,3.78611635611142,5.72568174305952
